scope,measurement_file,metric,sample_count,mean,median,p25,p75,p99,min,max,comparison_basis,improvement_percent
measurement,scan_zipf_full_036.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
strategy,,prefetch_elapsed_us,5,167.8,134.0,132.0,154.0,289.0,130.0,289.0,,
strategy,,first_query_latency_us,5,364.058,371.42,361.43,422.43,428.16,236.85,428.16,same-layout paired baseline,15.294676255117807
strategy,,first_query_improvement_percent,5,15.294676255117807,15.713252955854573,1.8859598188363733,16.31291965211121,41.36360260441166,1.1976462443752156,41.36360260441166,same-layout paired baseline,15.294676255117807
strategy,,effective_first_query_latency_us,5,531.8580000000001,562.1600000000001,493.43,576.4300000000001,660.4200000000001,366.85,660.4200000000001,same-layout paired baseline,-23.659971379749525
strategy,,effective_first_query_improvement_percent,5,-23.659971379749525,-29.72424137533173,-33.88224364185346,-15.069611249737648,9.179808382640553,-48.80356901446534,9.179808382640553,same-layout paired baseline,-23.659971379749525
strategy,,average_latency_us,5,48.648,49.12,46.91,49.91,52.88,44.42,52.88,same-layout paired baseline,5.852383202618868
strategy,,average_improvement_percent,5,5.852383202618868,-0.7300837449001424,-1.3195290296386493,3.665148557796569,31.96675900277009,-4.320378772933528,31.96675900277009,same-layout paired baseline,5.852383202618868
strategy,,major_page_faults,5,262.4,264.0,252.0,274.0,281.0,241.0,281.0,,
strategy,,minor_page_faults,5,108.8,110.0,104.0,110.0,118.0,102.0,118.0,,
strategy,,resident_after_cold_pages,5,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,
strategy,,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
strategy,,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
